case_number,source_group_number,scenario,phase,arm,status,decision_correct,evidence_correct,exact_correct,direct,e2e_s,jev_s,codex_s,confidence,codex_input_tokens,codex_cached_tokens,codex_output_tokens,jev_input_tokens,jev_output_tokens
14,6,rn,dev,B,ok,1,1,1,0,1.1620990000083111,1.1606859580497257,0,0.79,0,0,0,872,146
15,6,rn,dev,A,ok,1,1,1,0,13.741430333000608,0,13.739116334007122,,25282,0,21,0,0
15,6,rn,dev,B,ok,1,1,1,0,1.0222375000012107,1.0217980830348097,0,0.99,0,0,0,866,142
16,6,rn,dev,A,ok,1,1,1,0,10.526882292004302,0,10.524947249970865,,25284,21760,21,0,0
16,6,rn,dev,B,ok,1,1,1,0,0.8386762500158511,0.8372945829760283,0,1.0,0,0,0,867,142
17,6,rn,dev,A,ok,1,1,1,0,14.543471042008605,0,14.54256633296609,,25289,0,21,0,0
17,6,rn,dev,B,ok,1,1,1,0,1.0043463750043884,1.003545707964804,0,0.98,0,0,0,872,142
18,6,rn,dev,A,ok,1,1,1,0,7.946303292002995,0,7.945082458027173,,25296,21760,25,0,0
18,6,rn,dev,B,ok,1,1,1,0,0.8433255829731934,0.8429879999603145,0,0.94,0,0,0,891,144
19,6,rn,dev,A,ok,1,1,1,0,13.248623374965973,0,13.24743116600439,,25297,0,25,0,0
19,6,rn,dev,B,ok,1,1,1,0,0.8595000840141438,0.8590944160241634,0,0.84,0,0,0,880,144
20,6,rn,dev,A,ok,1,1,1,0,9.657678208022844,0,9.65671112498967,,25283,0,25,0,0
20,6,rn,dev,B,ok,1,1,1,0,1.2629710410255939,1.262430457980372,0,0.92,0,0,0,883,144
21,7,mr,dev,A,ok,1,1,1,0,9.398966125037987,0,9.397988333017565,,25146,0,23,0,0
21,7,mr,dev,B,ok,1,1,1,0,0.8477367089944892,0.8473598329583183,0,0.99,0,0,0,640,97
22,7,mr,dev,A,ok,1,1,1,0,12.420012124988716,0,12.418237374979071,,25145,21760,22,0,0
22,7,mr,dev,B,ok,1,1,1,0,0.9587592500029132,0.9573643750045449,0,0.99,0,0,0,639,96
23,8,mr,dev,A,ok,1,1,1,0,7.577245666994713,0,7.575956167012919,,25164,0,23,0,0
23,8,mr,dev,B,ok,1,1,1,0,0.8625957079930231,0.8622062089852989,0,0.96,0,0,0,658,97
24,8,mr,dev,A,ok,1,1,1,0,15.116308333002962,0,15.115194707992487,,25173,0,22,0,0
24,8,mr,dev,B,ok,1,1,1,0,1.1435500420047902,1.1428440420422703,0,0.38,0,0,0,667,97
25,9,mr,dev,A,ok,1,1,1,0,10.279008625017013,0,10.277230457984842,,25135,0,23,0,0
25,9,mr,dev,B,ok,1,1,1,0,1.4522070829989389,1.451883582980372,0,0.97,0,0,0,630,97
26,9,mr,dev,A,ok,1,1,1,0,8.956638916977681,0,8.955558833025862,,25135,0,22,0,0
26,9,mr,dev,B,ok,1,1,1,0,0.8594408750068396,0.8579991249716841,0,0.99,0,0,0,630,96
27,10,mr,dev,A,ok,1,1,1,0,13.675333167018835,0,13.67364383302629,,25137,21760,23,0,0
27,10,mr,dev,B,ok,1,1,1,0,0.9730975000420585,0.9724635829916224,0,0.97,0,0,0,631,97
28,10,mr,dev,A,ok,1,1,1,0,10.143536959018093,0,10.141615750035271,,25135,0,22,0,0
